gene_name,cn_type
A1BG,deletion
A1BG-AS1,deletion
A1CF,deletion
A2M,deletion
A2M-AS1,deletion
A2ML1,deletion
A2ML1-AS1,deletion
A2ML1-AS2,deletion
A2MP1,deletion
A3GALT2,deletion
A4GALT,deletion
A4GNT,deletion
AAAS,deletion
AACS,deletion
AACSP1,deletion
AADAC,deletion
AADACL2,deletion
AADACL2-AS1,deletion
AADACL3,deletion
AADACL4,deletion
AADACP1,deletion
AADAT,deletion
AAED1,deletion
AAGAB,deletion
AAK1,deletion
AAMDC,deletion
AAMP,deletion
AANAT,deletion
AAR2,deletion
AARD,deletion
AARS,deletion
AARS2,deletion
AARSD1,deletion
AARSP1,deletion
AASDH,deletion
AASDHPPT,deletion
AASS,deletion
AATBC,deletion
AATF,deletion
AATK,deletion
AB015752.1,deletion
ABALON,deletion
ABAT,deletion
ABBA01000935.2,deletion
ABBA01006766.1,deletion
ABCA1,deletion
ABCA10,deletion
ABCA11P,deletion
ABCA12,deletion
ABCA13,deletion
ABCA17P,deletion
ABCA2,deletion
ABCA3,deletion
ABCA4,deletion
ABCA5,deletion
ABCA6,deletion
ABCA7,deletion
ABCA8,deletion
ABCA9,deletion
ABCA9-AS1,deletion
ABCB1,deletion
ABCB10,deletion
ABCB10P1,deletion
ABCB10P3,deletion
ABCB10P4,deletion
ABCB11,deletion
ABCB4,deletion
ABCB5,deletion
ABCB6,deletion
ABCB7,deletion
ABCB8,deletion
ABCB9,deletion
ABCC1,deletion
ABCC10,deletion
ABCC11,deletion
ABCC12,deletion
ABCC13,deletion
ABCC2,deletion
ABCC3,deletion
ABCC4,deletion
ABCC5,deletion
ABCC5-AS1,deletion
ABCC6,deletion
ABCC6P1,deletion
ABCC6P2,deletion
ABCC8,deletion
ABCC9,deletion
ABCD1,deletion
ABCD1P2,deletion
ABCD1P3,deletion
ABCD1P4,deletion
ABCD1P5,deletion
ABCD2,deletion
ABCD3,deletion
ABCD4,deletion
ABCE1,deletion
